,Name,Retail,Groc,Transit,Workplace,Res,Park
112,Rhondda Cynon Taff,-72,-31,-64,-67,+27,-56
113,Rutland,-93,-39,Not,-66,Not,-70
114,Scottish Borders,-75,-34,-42,-62,+20,-35
115,Shetland Islands,-84,-49,-49,-59,Not,Not
116,Shropshire,-74,-33,-60,-64,+26,-33
117,Slough,-67,-32,-76,-66,+30,-36
118,Somerset,-78,-35,-67,-62,+26,-50
119,South Ayrshire Council,-76,-28,-61,-67,+20,-33
120,South Gloucestershire,-74,-29,-68,-69,+31,-33
121,South Lanarkshire,-67,-24,-63,-70,+28,-7%
122,South Yorkshire,-74,-26,-65,-64,+27,-12
123,Southampton,-81,-32,-72,-66,+29,-53
124,Southend-on-Sea,-78,-22,-75,-68,+29,-12
125,Staffordshire,-73,-26,-61,-66,+28,-18
126,Stirling,-80,-32,-77,-73,+11,-49
127,Stockton-on-Tees,-70,-27,-63,-63,+26,-16
128,Stoke-on-Trent,-72,-25,-70,-62,+25,-7%
129,Suffolk,-75,-32,-57,-63,+26,-25
130,Surrey,-77,-34,-74,-74,+32,-39
131,Swansea,-76,-41,-71,-66,+27,-41
132,Swindon,-76,-33,-71,-69,+30,-38
133,Thurrock,-74,-33,-65,-64,+29,-42
134,Torbay,-83,-33,-69,-64,+25,-58
135,Torfaen Principal Area,-71,-30,-58,-65,+24,Not
136,Tyne and Wear,-74,-26,-67,-67,+28,-21
137,Vale of Glamorgan,-78,-35,-70,-70,+27,-61
138,Warrington,-73,-22,-67,-66,+27,+29
139,Warwickshire,-76,-27,-65,-69,+29,-23
140,West Berkshire,-81,-36,-76,-73,+31,-38
141,West Dunbartonshire Council,-65,-23,-59,-67,+23,Not
142,West Lothian,-65,-16,-61,-67,+27,-24
143,West Midlands,-73,-28,-73,-68,+28,-24
144,West Sussex,-76,-32,-85,-68,+29,-45
145,West Yorkshire,-72,-28,-70,-67,+28,-15
146,Wiltshire,-76,-36,-66,-68,+29,-57
147,Windsor and Maidenhead,-82,-33,-77,-74,+31,-61
148,Wokingham,-75,-40,-73,-77,+33,-24
149,Worcestershire,-75,-32,-66,-67,+28,-23
150,Wrexham Principal Area,-69,-24,-53,-59,+25,-27
151,York,-81,-35,-80,-73,+30,-39
