,Name,Retail,Groc,Transit,Workplace,Res,Park
0,SK,-63,-12,-53,-44,+18,+27
1,Banská Bystrica Region,-67,-14,-47,-40,+16,+33
2,Bratislava Region,-64,-15,-59,-54,+23,+50
3,Košice Region,-63,-16,-52,-45,+17,+6%
4,Nitra Region,-60,-10,-47,-40,+17,+36
5,Prešov Region,-66,-14,-51,-42,+17,-38
6,Trenčín Region,-59,-10,-47,-39,+16,+37
7,Trnava Region,-58,-3%,-54,-42,+18,+80
8,Žilina Region,-67,-14,-54,-42,+18,-3%
