,Name,Retail,Groc,Transit,Workplace,Res,Park
0,LT,-54,-10,-53,-50,+21,+21
1,Alytus County,-51,-14,-42,-45,+17,+38
2,Kaunas County,-53,-10,-56,-49,+21,+11
3,Klaipėda County,-53,+3%,-22,-48,+19,+15
4,Marijampolė County,-48,-22,-37,-44,+17,+8%
5,Panevėžys County,-50,-7%,-54,-44,+18,-9%
6,Tauragė County,-37,-14,-51,-42,+13,Not
7,Telšiai County,-47,-3%,-71,-42,+15,+34
8,Utena County,-43,-3%,-19,-44,+17,+40
9,Vilnius County,-59,-17,-61,-57,+26,+19
10,Šiauliai County,-52,-13,-17,-45,+17,+15
